id,text,module,section
REQ-0001,The system shall refresh the display every 60 seconds.,Performance,PROMISE-exp
REQ-0002,The application shall match the color of the schema set forth by Department of Homeland Security,Look-and-Feel,PROMISE-exp
REQ-0003,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,Usability,PROMISE-exp
REQ-0004,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,Availability,PROMISE-exp
REQ-0005,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,Usability,PROMISE-exp
REQ-0006,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,Security,PROMISE-exp
REQ-0007,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,Usability,PROMISE-exp
REQ-0008,The product shall respond fast to keep up-to-date data in the display.,Performance,PROMISE-exp
REQ-0009,The system shall have a MDI form that allows for the viewing of the graph and the data table.,Functional,PROMISE-exp
REQ-0010,The system shall display Events in a vertical table by time.,Functional,PROMISE-exp
REQ-0011,The system shall display the Events in a graph by time.,Functional,PROMISE-exp
REQ-0012,The system shall display Events or Activities.,Functional,PROMISE-exp
REQ-0013,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,Functional,PROMISE-exp
REQ-0014,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,Functional,PROMISE-exp
REQ-0015,The table side of the display shall be split into 2 regions: sequential and temporal.,Functional,PROMISE-exp
REQ-0016,The top 1/4 of the table will hold events that are to occur sequentially.,Functional,PROMISE-exp
REQ-0017,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,Functional,PROMISE-exp
REQ-0018,The system shall color code events according to their variance from current time.,Functional,PROMISE-exp
REQ-0019,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,Functional,PROMISE-exp
REQ-0020,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,Functional,PROMISE-exp
REQ-0021,The system shall allow modification of the display.,Functional,PROMISE-exp
REQ-0022,The system shall offer a display of all the Events in the exercise.,Functional,PROMISE-exp
REQ-0023,The system shall filter data by: Venues and Key Events.,Functional,PROMISE-exp
REQ-0024,The system shall allow a user to define the time segments,Functional,PROMISE-exp
REQ-0025,The system shall display the local and exercise time in separate clocks,Functional,PROMISE-exp
REQ-0026,The system shall offer the ability to pause and resume the refresh of data.,Functional,PROMISE-exp
REQ-0027,The system shall provide charts for the Activity or Event actual versus assumed time.,Functional,PROMISE-exp
REQ-0028,The system shall provide a history report of changes made to the Activity or Event data,Functional,PROMISE-exp
