id,text,module,section,page,source_doc,requirement_type,criticality
UAV-FMS-001,The command authentication function shall authenticate uplink commands before execution.,Command Authentication,Command Security,1,uav_fms_phase2_audit,functional,high
UAV-FMS-002,The system shall maintain the command security state when required to authenticate uplink commands before execution.,Command Authentication,Command Security,1,uav_fms_phase2_audit,functional,high
UAV-FMS-003,The command authentication function shall reject commands with stale sequence counters.,Command Authentication,Command Security,1,uav_fms_phase2_audit,functional,high
UAV-FMS-004,The system shall maintain the command security state when required to reject commands with stale sequence counters.,Command Authentication,Command Security,2,uav_fms_phase2_audit,functional,high
UAV-FMS-005,The command authentication function shall log operator identity for every accepted command.,Command Authentication,Command Security,2,uav_fms_phase2_audit,functional,high
UAV-FMS-006,The system shall maintain the command security state when required to log operator identity for every accepted command.,Command Authentication,Command Security,2,uav_fms_phase2_audit,functional,high
UAV-FMS-007,The command authentication function shall validate command freshness against the configured command timer.,Command Authentication,Command Security,2,uav_fms_phase2_audit,functional,high
UAV-FMS-008,The system shall maintain the command security state when required to validate command freshness against the configured command timer.,Command Authentication,Command Security,3,uav_fms_phase2_audit,functional,high
UAV-FMS-009,The command authentication function shall isolate command buffers after authentication failure.,Command Authentication,Command Security,3,uav_fms_phase2_audit,functional,high
UAV-FMS-010,The system shall maintain the command security state when required to isolate command buffers after authentication failure.,Command Authentication,Command Security,3,uav_fms_phase2_audit,functional,high
UAV-FMS-011,The mission management function shall validate uploaded waypoints before storing the mission plan.,Mission Management,Mission Upload,3,uav_fms_phase2_audit,functional,medium
UAV-FMS-012,The system shall maintain the mission upload state when required to validate uploaded waypoints before storing the mission plan.,Mission Management,Mission Upload,4,uav_fms_phase2_audit,functional,medium
UAV-FMS-013,The mission management function shall reject mission upload when waypoint count exceeds the configured limit.,Mission Management,Mission Upload,4,uav_fms_phase2_audit,functional,medium
UAV-FMS-014,The system shall maintain the mission upload state when required to reject mission upload when waypoint count exceeds the configured limit.,Mission Management,Mission Upload,4,uav_fms_phase2_audit,functional,medium
