id,text,module,section,page,source_doc,requirement_type,criticality
STRESS-0001,The command authentication function shall authenticate uplink commands before execution. Stress scenario page 1 shall preserve traceability for buffer 1.,Command Authentication,Command Security,1,daily_uav_fms_batch_1,functional,high
STRESS-0002,The system shall maintain the command security state when required to authenticate uplink commands before execution. Stress scenario page 1 shall preserve traceability for buffer 2.,Command Authentication,Command Security,1,daily_uav_fms_batch_1,functional,high
STRESS-0003,The command authentication function shall reject commands with stale sequence counters. Stress scenario page 1 shall preserve traceability for buffer 3.,Command Authentication,Command Security,1,daily_uav_fms_batch_1,functional,high
STRESS-0004,The system shall maintain the command security state when required to reject commands with stale sequence counters. Stress scenario page 1 shall preserve traceability for buffer 4.,Command Authentication,Command Security,1,daily_uav_fms_batch_1,functional,high
STRESS-0005,The command authentication function shall log operator identity for every accepted command. Stress scenario page 2 shall preserve traceability for buffer 5.,Command Authentication,Command Security,2,daily_uav_fms_batch_1,functional,high
STRESS-0006,The system shall maintain the command security state when required to log operator identity for every accepted command. Stress scenario page 2 shall preserve traceability for buffer 6.,Command Authentication,Command Security,2,daily_uav_fms_batch_1,functional,high
STRESS-0007,The command authentication function shall validate command freshness against the configured command timer. Stress scenario page 2 shall preserve traceability for buffer 7.,Command Authentication,Command Security,2,daily_uav_fms_batch_1,functional,high
STRESS-0008,The system shall maintain the command security state when required to validate command freshness against the configured command timer. Stress scenario page 2 shall preserve traceability for buffer 8.,Command Authentication,Command Security,2,daily_uav_fms_batch_1,functional,high
STRESS-0009,The command authentication function shall isolate command buffers after authentication failure. Stress scenario page 3 shall preserve traceability for buffer 9.,Command Authentication,Command Security,3,daily_uav_fms_batch_1,functional,high
STRESS-0010,The system shall maintain the command security state when required to isolate command buffers after authentication failure. Stress scenario page 3 shall preserve traceability for buffer 10.,Command Authentication,Command Security,3,daily_uav_fms_batch_1,functional,high
STRESS-0011,The mission management function shall validate uploaded waypoints before storing the mission plan. Stress scenario page 3 shall preserve traceability for buffer 11.,Mission Management,Mission Upload,3,daily_uav_fms_batch_1,functional,medium
