id,text,module,section
REQ-001,The cooling fan shall activate when the processor temperature exceeds 70°C,Thermal,Temperature Control
REQ-002,The system shall maintain the internal ambient temperature below 85°C during normal operation,Thermal,Temperature Control
REQ-003,Thermal management subsystem shall dissipate a minimum of 50W of heat continuously,Thermal,Heat Dissipation
REQ-004,The heat sink shall be constructed from anodized aluminum with a minimum surface area of 200 cm²,Thermal,Heat Dissipation
REQ-005,The system shall include a thermal cutoff switch that triggers at 95°C to prevent overheating,Thermal,Protection
REQ-006,Temperature sensors shall be accurate to within ±1°C across the full operating range,Thermal,Sensing
REQ-007,The system shall log temperature readings every 5 seconds during operation,Thermal,Monitoring
REQ-008,Fan speed shall be variable and proportional to the measured temperature above the activation threshold,Thermal,Temperature Control
REQ-009,The unit shall withstand a peak operating temperature of 90°C for up to 30 minutes,Thermal,Endurance
REQ-010,Thermal interface material shall be applied between the processor and heat sink with a coverage of at least 95%,Thermal,Heat Dissipation
REQ-011,The structure shall survive a shock load of 15g for 11 milliseconds in all three axes,Mechanical,Shock
REQ-012,The enclosure shall withstand a vibration level of 5 grms from 20 Hz to 2000 Hz,Mechanical,Vibration
REQ-013,All fasteners shall be stainless steel Grade A4 with a minimum torque rating of 3 Nm,Mechanical,Fastening
REQ-014,The chassis shall be manufactured from 6061-T6 aluminum alloy,Mechanical,Materials
REQ-015,The unit mass shall not exceed 2.5 kg including all connectors and mounting hardware,Mechanical,Mass
REQ-016,The PCB shall be secured using a minimum of 6 mounting points to prevent flexure under vibration,Mechanical,Mounting
REQ-017,The enclosure shall maintain IP67 ingress protection rating under all operational conditions,Mechanical,Environmental
REQ-018,The mechanical design shall allow for tool-free access to the battery compartment,Mechanical,Accessibility
REQ-019,All external edges shall have a minimum chamfer radius of 2 mm to prevent operator injury,Mechanical,Safety Design
REQ-020,The mounting bracket shall support a static load of 50 kg without permanent deformation,Mechanical,Structural
REQ-021,The software shall be developed to DO-178C Level B,Software,Standards Compliance
REQ-022,All safety-critical software functions shall have 100% modified condition/decision coverage,Software,Testing
REQ-023,The software shall perform a built-in test routine at startup and report any faults within 2 seconds,Software,BITE
